skill	content
constructing-scatter-plots	the number of hours since sunrise and the water level at the coast of tasmania (in meters above sea level) was measured for several days. plot the data in a scatter plot. day 5 6 3 2 1 0 (meters) -0.4 0.1 -0.3 -0.5 0.5 0.5 1 1 1.5 2 2 2.5 2.5 3 3 3.5 3.5 4 4 4.5 0.2 0.2 0.4 llap - 0.2 - 0.2 llap - 0.4 - 0.4 height height hours hours click to add points
constructing-scatter-plots	a professional soccer player can score a goal using his feet or his head. the table below shows how many goals a sample of players scored with different parts of their bodies in the 2014 , - ,2015 season (according to www.whoscored.com). plot the data in a scatter plot. goals from... ronaldo neymar lacazette agüero meier 25 2 5 10 15 15 20 20 25 25 30 35 35 1 1 2 2 3 4 4 5 6 7 8 9 10 11 12 12 head head feet feet click to add points
constructing-scatter-plots	ruben measured how many minutes he meditated each night and the number of hours he slept. plot the data in a scatter plot. (minutes) 4 (hours) 4.5 9.5 8.5 2 4 4 6 8 10 10 12 14 16 18 18 20 22 24 1 2 3 4 4 5 6 6 7 7 8 8 9 10 10 sleep sleep meditation meditation click to add points
constructing-scatter-plots	athletes competed for medals in different track and field events at the 2012 summer olympics in london. the table below shows how many gold and silver medals were won by a sample of nations. plot the data in a scatter plot. usa russia jamaica great britain ethiopia kenya 4 4 4 1 1 2 3 4 4 5 6 7 8 9 1 1 2 2 3 3 4 4 5 6 7 8 8 9 9 10 11 12 13 13 silver silver gold gold click to add points
constructing-scatter-plots	jin has 20 dogs! she measured the width and length of each of her dogs for a biology project. suppose she wants to create a scatter plot to investigate if the dogs' length is a function of their width. complete the sentences below. the dogs' length should go on the axis. the most reasonable range for that axis would be from to . name width ( cm ) length ( cm ) name width ( cm ) length ( cm ) trump 19.3 49.3 harpo 37.6 97 wrigley 24.2 68.1 wiggles 42.7 82 piggles 17.4 63.5 mugsy 36.4 77.1 fudge 24.7 53.7 nibbles 23.5 67.9 buck 39.1 71.7 freebie 31.6 80.6 gigi 46.3 100.3 brain 28.2 55.5 bellboy 23.3 67.3 spuds 12.7 39.2 pal 15.6 22.7 taos 32.1 65 alastair 29.1 54.3 bentley 37.9 93.9 furface 25.7 60 fido 28.6 55.1
constructing-scatter-plots	garret collected data about exams in each of his classes from the previous year. plot the data in a scatter plot. class history arts english computer science math biology average score 55 95 60 1 1 2 2 3 3 4 4 5 6 6 7 7 10 20 30 40 50 60 60 70 80 80 90 90 100 avg score period period click to add points
constructing-scatter-plots	darcy's mother has been measuring darcy's height each birthday since she was born. the relationship between darcy's age and her height is shown below. darcy wants to make a scatter plot showing how her height has changed over time. complete the sentences below. darcy's height should go on the axis. the most reasonable range for that axis would be from to . age (years) 0 1 2 3 4 5 6 height (inches) 17 28 30 33 37 40 41 age (years) 7 8 9 10 11 12 height (inches) 43 45 47 51 52 60
constructing-scatter-plots	kumara measured the height and petal length (in centimeters) of all the flowers in his garden. plot the data in a scatter plot. height ( cm ) 85 62.5 30 87.5 40 petal length ( cm ) 4.75 3.25 7 height ( cm ) 60 47.5 70 75 75 35 37.5 petal length ( cm ) 5 5.25 5.25 5.25 6 6 3 4 4 click to add points
constructing-scatter-plots	a drug company testing a pain medication wants to know the impact of different dosages on patients' pain levels. they recruited volunteers experiencing pain to try one of different dosages and then rate their pain levels on a scale of 1 to 10 . here are the results: average pain level 6.0 5.8 5.2 4.9 3.9 3.6 3.5 dosage (mg) 0 50 150 250 all of the scatter plots below display the data correctly, but which one of them displays the data best? by convention, a good scatter plot uses a reasonable scale on both axes and puts the explanatory variable on the x -axis. choose 1 answer: a graph a b graph b c graph c d graph d 100 200 300 2 4 6 8 avg. pain level dosage (mg) graph a ~~~ 300 600 900 6 12 18 24 avg. pain level dosage (mg) graph b 2 4 6 8 100 100 200 200 300 dosage (mg) avg. pain level graph c ~~~ 6 6 12 18 24 300 300 600 900 dosage (mg) avg. pain level graph d
constructing-scatter-plots	arthur wanted to investigate how the amount of exercise he does affects his weight. each week he recorded the number of hours he exercised during the past week and the change in his weight during that week (positive number means he gained weight, negative means he lost weight). suppose arthur wants to create a scatter plot according to the data, presented below. complete the sentences below. the change in weight should go on the axis. the most reasonable range for that axis would be from to . exercise ( hours ) weight change ( lb ) 0.6 3.3 0.8 0.3 1.2 8.9 -1.7 8.4 -1.9 1.3 6.5 -0.3 5.8 0 7.7 -0.2 8 -1.3 3.1 3.1 1.1 4.9 0.4 5.1 -0.2 2.7 0.7 1.9 1.9 0.5
constructing-scatter-plots	a group of scientists wanted to investigate if the life expectancy of mammal species is associated with their average heart rate. the table below shows the relationship between average heart rate (in bpm - beats per minute) and life expectancy (in years). suppose we want to create a scatter plot according to the data. complete the sentences below. the species' average heart rate should go on the axis. the most reasonable range for that axis would be from to . species average heart rate ( bpm ) life expectancy ( years ) cat 130 chipmunk 400 6 cow 66 dog 22 22 elephant 30 giraffe 80 10 goat guinea pig 250 8 hamster 450 horse 34 40 lion 50 13 moose 100 12 mouse 600 ox 48 pig 95 95 25 25 rabbit 265 9 rat 375 4 4 4 sheep 75 75 15 15 whale 20 20 70 70
constructing-scatter-plots	the table below shows the relationship between quiz scores and study time (in hours) for each -point quiz dexter took this year. plot the data in a scatter plot. study time (hours) 0.75 0 3.25 0.25 15 13 7 19 0.5 1 1 1.5 2 2.5 3 3.5 2 2 4 6 8 10 12 12 14 16 16 18 20 20 score score hours click to add points
constructing-scatter-plots	a group of scientists wanted to investigate if the life expectancy of mammal species is associated with their average heart rate. the table below shows the relationship between average heart rate (in bpm - beats per minute) and life expectancy (in years). suppose we want to create a scatter plot according to the data. complete the sentences below. the species' life expectancy should go on the axis. the most reasonable range for that axis would be from to . species average heart rate ( bpm ) life expectancy ( years ) cat 130 chipmunk 400 6 cow 66 dog 22 22 elephant 30 giraffe 80 10 goat guinea pig 250 8 hamster 450 horse 34 40 lion 50 13 moose 100 12 mouse 600 ox 48 pig 95 95 25 25 rabbit 265 9 rat 375 4 4 4 sheep 75 75 15 15 whale 20 20 70 70
constructing-scatter-plots	a doctor studying nutrition collected data on the heights (in meters) of children in america. the table below shows the mean heights for children of different ages in the study. plot the data in a scatter plot. (years) (meters) 1.1 1.2 1.3 1.4 1 2 3 4 5 5 6 6 7 8 8 9 10 10 11 12 12 0.5 1 1.5 1.5 height height age age click to add points
constructing-scatter-plots	every year, a meteorologist studying tropical storms predicts how many hurricanes will occur. the table below shows how many hurricanes were predicted and how many hurricanes actually occurred for the years to . plot the data in a scatter plot to see the relationship between the predicted and actual hurricane counts. year 2000 2000 2001 2002 2003 2004 2005 2005 11 13 17 17 15 15 27 2 4 6 8 10 12 12 14 14 16 18 20 22 24 26 28 2 4 6 8 10 12 12 14 14 16 16 18 20 22 24 26 28 actual actual predicted predicted click to add points
constructing-scatter-plots	a group of meteorologists wanted to investigate if average low temperature is a function of latitude. they collected data in the table below and wanted to create a scatter plot based on it. complete the sentences below. the cities' latitude should go on the axis. the most reasonable range for that axis would be from to . city latitude (degrees) average low temperature (^ circ c ) ( ∘ c) amsterdam 52.23 0 bangkok 13.44 20 barcelona 41.23 beijing 39.55 -8 berlin 52.27 -3 bombay 18.56 18 cairo 30.3 9 chicago 41.59 -9 dublin 53.22 glasgow 55.53 hanoi 21.1 havana 23.8 17 hong kong 22.15 14 14 jerusalem 31.47 4 4 london 51.29 2 2 mexico city 19.24 7 new york 40.47 3 paris 48.52 st. petersburg 59.56 -9 tokyo 35.4 1 1 1
constructing-scatter-plots	a doctor collected data on how many hours children of different ages slept in a day. data for participants are shown below. plot the data in a scatter plot. (years) (hours) 1 2 3 4 5 5 6 7 8 8 9 10 1 1 2 2 3 3 4 5 5 6 7 8 8 9 9 10 10 11 11 12 13 13 14 sleep sleep age age click to add points
constructing-scatter-plots	hector recorded the amount of coffee he drank (in milliliters) and the duration of his drive (in minutes) over five days this week. plot the data in a scatter plot. (ml) 125 225 (min) 15 50 100 100 150 150 200 200 250 2 4 6 8 10 12 12 14 14 16 18 18 20 20 duration duration coffee coffee click to add points
constructing-scatter-plots	ruben tossed a water balloon in the air and recorded its height according to the time since he released it. plot the data in a scatter plot. time (seconds) 0 0.1 0.2 0.3 0.4 0.5 height (meters) 1.95 1.9 1.9 1.8 1.8 time (seconds) 0.6 0.7 0.8 height (meters) 1.65 1.65 1.45 1.2 0.9 0.9 click to add points
constructing-scatter-plots	a group of meteorologists wanted to investigate if average low temperature is a function of latitude. they collected data in the table below and wanted to create a scatter plot based on it. complete the sentences below. the cities' average low temperature should go on the axis. the most reasonable range for that axis would be from to . city latitude (degrees) average low temperature (^ circ c ) ( ∘ c) amsterdam 52.23 0 bangkok 13.44 20 barcelona 41.23 beijing 39.55 -8 berlin 52.27 -3 bombay 18.56 18 cairo 30.3 9 chicago 41.59 -9 dublin 53.22 glasgow 55.53 hanoi 21.1 havana 23.8 17 hong kong 22.15 14 14 jerusalem 31.47 4 4 london 51.29 2 2 mexico city 19.24 7 new york 40.47 3 paris 48.52 st. petersburg 59.56 -9 tokyo 35.4 1 1 1
constructing-scatter-plots	part-time employees at a small business get paid hourly wages based on how many years they have worked at the business. plot the data in a scatter plot. worked 0 hourly wage $5.50 $6.50 $7.00 $7.50 $7.50 1 2 3 4 1 1 2 2 3 3 4 4 5 6 7 wage years years click to add points
constructing-scatter-plots	sean measured the height and petal length (in centimeters) of all the flowers in his garden. plot the data in a scatter plot. ( cm ) 32.5 37.5 ( cm ) 1.5 8.5 5 10 15 15 20 20 25 30 35 35 40 1 2 2 3 4 4 5 5 6 7 8 8 9 10 10 petal length petal length height height click to add points
constructing-scatter-plots	aubree collected data about exams in each of her classes from the previous year. plot the data in a scatter plot. class english math history computer science arts biology average score 95 85 65 70 1 1 2 2 3 3 4 4 5 5 6 6 7 10 20 30 40 50 60 70 70 80 90 90 100 avg score period period click to add points
constructing-scatter-plots	krista measured the height and petal length (in centimeters) of all the flowers in her garden. plot the data in a scatter plot. ( cm ) 7.5 27.5 15 32.5 32.5 ( cm ) 6.5 4.5 5.5 5 10 15 15 20 25 30 35 40 1 2 3 3 4 5 6 7 7 8 9 9 10 petal length petal length height height click to add points
constructing-scatter-plots	"superman was said to be ""faster than a speeding bullet."" a winchester rifle bullet travels at a speed of 1 , 924 miles per hour ( mph ) . which of the equations, where t is the time in hours and d the distance in miles, describe a speed faster than the speed of a winchester bullet? choose all answers that apply: a d=1 , 294t b d=1 , 492t c d=1 , 950t d d=2 , 000t"
constructing-scatter-plots	drag the dots to plot left(7 dfrac12,-2 right) (7 ,−2) , (-3,7) , and (2,0) . 1 2 3 4 5 6 7 8 9 llap - 2 - 2 llap - 3 - llap - 4 - llap - 5 - llap - 6 - llap - 7 - llap - 8 - llap - 9 - 1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 llap - 2 - 2 llap - 3 - 3 llap - 4 - 4 llap - 5 - 5 llap - 6 - 6 llap - 7 - 7 llap - 8 - 8 llap - 9 - 9 y x
constructing-scatter-plots	swimmers competed for medals in different events at the 2012 summer olympics in london. the table below shows how many gold and silver medals were won by a sample of nations. plot the data in a scatter plot. usa china france netherlands australia 5 9 2 1 1 2 2 4 6 8 10 12 14 16 18 2 2 4 4 6 6 8 10 12 14 16 16 18 silver silver gold gold click to add points
constructing-scatter-plots	the water level at the coast of tasmania (in meters above sea level) was measured sometime between 6 : 00 a.m. and 10 : 00 a.m. for several days. each measure is recorded in the table below according to the day and time of measure. plot the data in a scatter plot. day 1 2 3 4 5 hour 6 : 15 8 : 45 10 : 00 8 : 30 7 : 00 height 0.45 -0.25 0.5 -0.4 day 6 7 8 9 10 hour 7 : 45 9 : 15 9 : 00 6 : 30 7 : 15 height -0.5 0 0 -0.25 0.2 -0.3 click to add points
interpreting-linear-graphs	archimedes drained the water in his tub. the amount of water left in the tub (in liters) as a function of time (in minutes) is graphed. 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 20 40 60 80 100 120 140 160 180 200 220 240 260 280 300 320 340 360 380 time (minutes) water (liters) how much water was initially in the tub? liters
interpreting-linear-graphs	jada sells ground paprika. her weekly profit (in dollars) as a function of the amount of paprika she sold that week (in kilograms) is graphed. 10 20 30 40 50 60 70 80 90 100 50 100 150 200 250 300 350 400 450 500 llap - 100 - 100 llap - 150 - 150 llap - 200 - 200 llap - 250 - 250 paprika (kilograms) profit (dollars) 0 -50 what is jada's profit if she sells 60 kilograms of paprika? $
interpreting-linear-graphs	mr. mole left his burrow and started digging his way down. a represents mr. mole's altitude relative to the ground (in meters) after t minutes. a=-2.3t-7 how fast did mr. mole descend? meters per minute
interpreting-linear-graphs	amir drove from jerusalem to the lowest place on earth, the dead sea. his altitude relative to sea level (in meters) as a function of time (in minutes) is graphed. 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 40 80 120 160 200 240 280 320 360 400 440 llap - 80 - 80 llap - 120 - 120 llap - 160 - 160 llap - 200 - 200 llap - 240 - 240 llap - 280 - 280 llap - 320 - 320 llap - 360 - 360 llap - 400 - 400 time (minutes) altitude (meters) 0 -40 what was amir's altitude at the beginning of the drive? meters
interpreting-linear-graphs	rip van winkle has fallen asleep for a very long time. the length of his beard (in millimeters) as a function of time (in weeks) is graphed. 5 10 15 20 25 30 10 20 30 40 50 60 70 80 time (weeks) beard length (millimeters) how long was rip van winkle's beard when he fell asleep? millimeters
interpreting-linear-graphs	a battery is charged. the percentage of the battery's capacity that is charged as a function of time (in minutes) is graphed. 5 10 15 20 25 30 10 20 30 40 50 60 70 80 90 100 time (minutes) capacity (% charged) what was the battery's charging level when the charging began? percent
